k	l	m	KLM
0	0	0	1.000000
0	0	1	0.000000
0	1	0	0.017610
0	1	1	0.982390
0	2	0	1.000000
0	2	1	0.000000
0	3	0	0.008761
0	3	1	0.991239
0	4	0	0.000000
0	4	1	1.000000
0	5	0	1.000000
0	5	1	0.000000
0	6	0	1.000000
0	6	1	0.000000
0	7	0	1.000000
0	7	1	0.000000
0	8	0	0.000000
0	8	1	1.000000
0	9	0	0.991244
0	9	1	0.008756
0	10	0	0.000000
0	10	1	1.000000
0	11	0	0.000000
0	11	1	1.000000
0	12	0	0.026155
0	12	1	0.973845
0	13	0	1.000000
0	13	1	0.000000
0	14	0	0.000000
0	14	1	1.000000
0	15	0	0.017465
0	15	1	0.982535
0	16	0	0.991239
0	16	1	0.008761
0	17	0	0.000000
0	17	1	1.000000
0	18	0	1.000000
0	18	1	0.000000
0	19	0	0.973686
0	19	1	0.026314
0	20	0	0.947176
0	20	1	0.052824
0	21	0	0.991214
0	21	1	0.008786
0	22	0	0.000000
0	22	1	1.000000
0	23	0	0.000000
0	23	1	1.000000
0	24	0	1.000000
0	24	1	0.000000
0	25	0	1.000000
0	25	1	0.000000
0	26	0	1.000000
0	26	1	0.000000
0	27	0	0.982453
0	27	1	0.017547
0	28	0	0.982533
0	28	1	0.017467
0	29	0	0.973845
0	29	1	0.026155
0	30	0	0.000000
0	30	1	1.000000
0	31	0	0.354095
0	31	1	0.645905
0	32	0	0.982516
0	32	1	0.017484
0	33	0	1.000000
0	33	1	0.000000
1	0	0	0.994618
1	0	1	0.005382
1	1	0	0.000000
1	1	1	1.000000
1	2	0	0.994618
1	2	1	0.005382
1	3	0	0.000000
1	3	1	1.000000
1	4	0	0.010773
1	4	1	0.989227
1	5	0	0.924608
1	5	1	0.075392
1	6	0	0.000000
1	6	1	1.000000
1	7	0	0.677691
1	7	1	0.322309
1	8	0	0.021477
1	8	1	0.978523
1	9	0	1.000000
1	9	1	0.000000
1	10	0	0.010773
1	10	1	0.989227
1	11	0	0.074293
1	11	1	0.925707
1	12	0	0.000000
1	12	1	1.000000
1	13	0	0.000000
1	13	1	1.000000
1	14	0	1.000000
1	14	1	0.000000
1	15	0	0.000000
1	15	1	1.000000
1	16	0	1.000000
1	16	1	0.000000
1	17	0	0.016172
1	17	1	0.983828
1	18	0	0.967672
1	18	1	0.032328
1	19	0	1.000000
1	19	1	0.000000
1	20	0	1.000000
1	20	1	0.000000
1	21	0	1.000000
1	21	1	0.000000
1	22	0	0.053973
1	22	1	0.946027
1	23	0	0.053973
1	23	1	0.946027
1	24	0	0.452908
1	24	1	0.547092
1	25	0	0.946027
1	25	1	0.053973
1	26	0	0.956970
1	26	1	0.043030
1	27	0	1.000000
1	27	1	0.000000
1	28	0	0.999999
1	28	1	0.000001
1	29	0	1.000000
1	29	1	0.000000
1	30	0	0.037785
1	30	1	0.962215
1	31	0	0.000000
1	31	1	1.000000
1	32	0	1.000000
1	32	1	0.000000
1	33	0	0.978523
1	33	1	0.021477

