k	l	m	KLM
0	0	0	0.019261
0	0	1	0.980739
0	1	0	0.628608
0	1	1	0.371392
0	2	0	0.000000
0	2	1	1.000000
0	3	0	0.000000
0	3	1	1.000000
0	4	0	0.000000
0	4	1	1.000000
0	5	0	0.987164
0	5	1	0.012836
0	6	0	0.032075
0	6	1	0.967925
0	7	0	1.000000
0	7	1	0.000000
0	8	0	1.000000
0	8	1	0.000000
0	9	0	0.000000
0	9	1	1.000000
0	10	0	1.000000
0	10	1	0.000000
0	11	0	1.000000
0	11	1	0.000000
0	12	0	1.000000
0	12	1	0.000000
0	13	0	0.264323
0	13	1	0.735677
0	14	0	0.000000
0	14	1	1.000000
0	15	0	0.000000
0	15	1	1.000000
0	16	0	0.993581
0	16	1	0.006419
0	17	0	0.987179
0	17	1	0.012821
0	18	0	0.000000
0	18	1	1.000000
0	19	0	1.000000
0	19	1	0.000000
0	20	0	1.000000
0	20	1	0.000000
0	21	0	0.961560
0	21	1	0.038440
0	22	0	0.846418
0	22	1	0.153582
0	23	0	0.936159
0	23	1	0.063841
0	24	0	0.031986
0	24	1	0.968014
0	25	0	0.000000
0	25	1	1.000000
0	26	0	0.006400
0	26	1	0.993600
0	27	0	0.974300
0	27	1	0.025700
0	28	0	0.000000
0	28	1	1.000000
0	29	0	0.000000
0	29	1	1.000000
0	30	0	0.000000
0	30	1	1.000000
0	31	0	1.000000
0	31	1	0.000000
0	32	0	1.000000
0	32	1	0.000000
1	0	0	0.000000
1	0	1	1.000000
1	1	0	0.000000
1	1	1	1.000000
1	2	0	0.362492
1	2	1	0.637508
1	3	0	0.006937
1	3	1	0.993063
1	4	0	0.034767
1	4	1	0.965233
1	5	0	0.993065
1	5	1	0.006935
1	6	0	0.000000
1	6	1	1.000000
1	7	0	0.993043
1	7	1	0.006957
1	8	0	0.979247
1	8	1	0.020753
1	9	0	0.190859
1	9	1	0.809141
1	10	0	0.000000
1	10	1	1.000000
1	11	0	0.993043
1	11	1	0.006957
1	12	0	0.937478
1	12	1	0.062522
1	13	0	0.000000
1	13	1	1.000000
1	14	0	0.020814
1	14	1	0.979186
1	15	0	0.224306
1	15	1	0.775694
1	16	0	1.000000
1	16	1	0.000000
1	17	0	1.000000
1	17	1	0.000000
1	18	0	0.027661
1	18	1	0.972339
1	19	0	0.000000
1	19	1	1.000000
1	20	0	0.965525
1	20	1	0.034475
1	21	0	1.000000
1	21	1	0.000000
1	22	0	1.000000
1	22	1	0.000000
1	23	0	1.000000
1	23	1	0.000000
1	24	0	0.000000
1	24	1	1.000000
1	25	0	0.020945
1	25	1	0.979055
1	26	0	0.000000
1	26	1	1.000000
1	27	0	1.000000
1	27	1	0.000000
1	28	0	0.611821
1	28	1	0.388179
1	29	0	0.006968
1	29	1	0.993032
1	30	0	1.000000
1	30	1	0.000000
1	31	0	0.904242
1	31	1	0.095758
1	32	0	0.000000
1	32	1	1.000000

